,0,1,2,3,4,5
0,90.0,68.0,1.995,1.812,1.995,0.4
1,90.0,64.0,1.995,1.812,1.995,0.4
2,90.0,63.0,1.995,1.812,1.995,0.4
3,90.0,64.0,1.995,1.812,1.995,0.4
4,90.0,65.0,1.995,1.812,1.995,0.4
5,90.0,63.0,1.995,1.812,1.995,0.4
6,90.0,64.0,1.995,1.812,1.995,0.4
7,90.0,63.0,1.995,1.812,1.995,0.4
8,90.0,64.0,1.995,1.812,1.995,0.4
9,90.0,63.0,1.995,1.812,1.995,0.4
10,90.0,64.0,1.995,1.812,1.995,0.4
11,90.0,64.0,1.995,1.812,1.995,0.4
12,90.0,64.0,1.995,1.812,1.995,0.4
13,90.0,64.0,1.995,1.812,1.995,0.4
14,90.0,64.0,1.995,1.812,1.995,0.4
15,90.0,64.0,1.995,1.812,1.995,0.4
16,90.0,64.0,1.995,1.812,1.995,0.4
17,90.0,64.0,1.995,1.812,1.995,0.4
18,90.0,64.0,1.995,1.812,1.995,0.4
19,90.0,64.0,1.995,1.812,1.995,0.4
20,90.0,64.0,1.995,1.812,1.995,0.4
21,90.0,64.0,1.995,1.812,1.995,0.4
22,90.0,64.0,1.995,1.812,1.995,0.4
23,90.0,65.0,1.995,1.812,1.995,0.4
24,90.0,64.0,1.995,1.812,1.995,0.4
25,90.0,64.0,1.995,1.812,1.995,0.4
26,90.0,65.0,1.995,1.812,1.995,0.4
27,90.0,64.0,1.995,1.812,1.995,0.4
28,90.0,65.0,1.995,1.812,1.995,0.4
29,90.0,65.0,1.995,1.812,1.995,0.4
30,90.0,64.0,1.995,1.812,1.995,0.4
31,90.0,65.0,1.995,1.812,1.995,0.4
32,90.0,65.0,1.995,1.812,1.995,0.4
33,90.0,65.0,1.995,1.812,1.995,0.4
34,90.0,65.0,1.995,1.812,1.995,0.4
35,90.0,65.0,1.995,1.812,1.995,0.4
36,90.0,65.0,1.995,1.812,1.995,0.4
37,90.0,65.0,1.995,1.812,1.995,0.4
38,90.0,65.0,1.995,1.812,1.995,0.4
39,90.0,64.0,1.995,1.812,1.995,0.4
40,90.0,65.0,1.995,1.812,1.995,0.4
41,90.0,64.0,1.995,1.812,1.995,0.4
42,90.0,64.0,1.995,1.812,1.995,0.4
43,90.0,64.0,1.995,1.812,1.995,0.4
44,90.0,64.0,1.995,1.812,1.995,0.4
45,90.0,64.0,1.995,1.812,1.995,0.4
46,90.0,65.0,1.995,1.812,1.995,0.4
47,90.0,64.0,1.995,1.812,1.995,0.4
48,90.0,64.0,1.995,1.812,1.995,0.4
49,90.0,64.0,1.995,1.812,1.995,0.4
50,90.0,64.0,1.995,1.812,1.995,0.4
