,0,1,2,3,4,5,6
0,46.455,-34.813,81.268,493.037,19.98,19.98,415.77
1,46.734,-34.813,81.548,493.083,19.98,19.98,415.79
2,47.003,-34.813,81.817,493.129,19.98,19.98,415.81
3,47.261,-34.813,82.075,493.175,19.98,19.98,415.83
4,47.509,-34.813,82.322,493.222,19.98,19.98,415.85
5,47.745,-34.813,82.558,493.268,19.98,19.98,415.87
6,47.97,-34.813,82.783,493.313,19.98,19.98,415.89
7,48.184,-34.813,82.997,493.359,19.98,19.98,415.91
8,48.386,-34.813,83.199,493.405,19.98,19.98,415.93
9,48.577,-34.813,83.39,493.45,19.98,19.98,415.95
10,48.755,-34.813,83.569,493.496,19.98,19.98,415.97
11,48.923,-34.813,83.736,493.541,19.98,19.98,415.99
12,49.078,-34.813,83.891,493.586,19.98,19.98,416.01
13,49.221,-34.813,84.034,493.631,19.98,19.98,416.03
14,49.352,-34.813,84.165,493.676,19.98,19.98,416.05
15,49.47,-34.813,84.284,493.72,19.98,19.98,416.07
16,49.577,-34.813,84.39,493.764,19.98,19.98,416.09
17,49.671,-34.813,84.484,493.809,19.98,19.98,416.11
18,49.753,-34.813,84.566,493.852,19.98,19.98,416.13
19,49.822,-34.813,84.635,493.896,19.98,19.98,416.15
20,49.879,-34.813,84.692,493.94,19.98,19.98,416.17
21,49.923,-34.813,84.736,493.983,19.98,19.98,416.19
22,49.955,-34.813,84.768,494.026,19.98,19.98,416.21
23,49.974,-34.813,84.787,494.069,19.98,19.98,416.23
24,49.98,-34.813,84.793,494.111,19.98,19.98,416.25
25,49.974,-34.813,84.787,494.153,19.98,19.98,416.27
26,49.955,-34.813,84.768,494.195,19.98,19.98,416.29
27,49.924,-34.813,84.737,494.237,19.98,19.98,416.31
28,49.88,-34.813,84.693,494.279,19.98,19.98,416.33
29,49.823,-34.813,84.636,494.32,19.98,19.98,416.35
30,49.754,-34.813,84.567,494.361,19.98,19.98,416.37
31,49.673,-34.813,84.486,494.401,19.98,19.98,416.39
32,49.579,-34.813,84.392,494.442,19.98,19.98,416.41
33,49.473,-34.813,84.286,494.482,19.98,19.98,416.43
34,49.354,-34.813,84.167,494.521,19.98,19.98,416.45
