,0,1,2,3,4,5,6
0,31.0,30.659,0.341,0.136,1.0,1.0,31.181
1,31.0,30.725,0.275,0.134,1.0,1.0,31.201
2,31.0,30.791,0.209,0.133,1.0,1.0,31.221
3,31.0,30.923,0.077,0.131,1.0,1.0,31.241
4,31.0,30.989,0.011,0.129,1.0,1.0,31.261
5,31.0,30.791,0.209,0.134,1.0,1.0,31.281
6,31.0,30.725,0.275,0.135,1.0,1.0,31.301
7,31.0,30.791,0.209,0.134,1.0,1.0,31.321
8,31.0,30.923,0.077,0.132,1.0,1.0,31.341
9,31.0,30.857,0.143,0.133,1.0,1.0,31.361
10,31.0,30.923,0.077,0.132,1.0,1.0,31.381
11,31.0,30.725,0.275,0.136,1.0,1.0,31.401
12,31.0,30.989,0.011,0.131,1.0,1.0,31.421
13,31.0,30.791,0.209,0.135,1.0,1.0,31.441
14,31.0,30.857,0.143,0.134,1.0,1.0,31.461
15,31.0,30.989,0.011,0.131,1.0,1.0,31.481
16,31.0,30.923,0.077,0.133,1.0,1.0,31.501
17,31.0,30.791,0.209,0.136,1.0,1.0,31.521
18,31.0,30.791,0.209,0.136,1.0,1.0,31.541
19,31.0,30.725,0.275,0.137,1.0,1.0,31.561
20,31.0,30.791,0.209,0.136,1.0,1.0,31.581
21,31.0,30.725,0.275,0.138,1.0,1.0,31.601
22,31.0,30.725,0.275,0.138,1.0,1.0,31.621
23,31.0,30.857,0.143,0.136,1.0,1.0,31.641
24,31.0,30.593,0.407,0.142,1.0,1.0,31.661
25,31.0,30.857,0.143,0.136,1.0,1.0,31.681
26,31.0,30.791,0.209,0.138,1.0,1.0,31.701
27,31.0,30.725,0.275,0.14,1.0,1.0,31.721
28,40.99,30.725,10.265,0.351,1.0,1.0,31.741
29,40.99,30.659,10.331,0.368,1.0,1.0,31.761
30,40.99,30.725,10.265,0.369,1.0,1.0,31.781
31,40.99,30.659,10.331,0.391,1.0,1.0,31.801
32,40.99,30.923,10.067,0.373,1.0,1.0,31.821
33,40.99,30.791,10.199,0.415,1.0,1.0,31.841
34,40.99,30.989,10.001,0.399,1.0,1.0,31.861
35,40.99,30.989,10.001,0.424,1.0,1.0,31.881
36,40.99,31.187,9.803,0.417,1.0,1.0,31.901
37,40.99,31.451,9.539,0.418,1.0,1.0,31.921
38,40.99,31.319,9.671,0.458,1.0,1.0,31.941
39,40.99,31.582,9.408,0.437,1.0,1.0,31.961
40,40.99,31.648,9.342,0.459,1.0,1.0,31.981
41,40.99,32.044,8.946,0.44,1.0,1.0,32.001
42,40.99,31.978,9.012,0.48,1.0,1.0,32.021
43,40.99,32.308,8.682,0.459,1.0,1.0,32.041
44,40.99,33.165,7.825,0.424,1.0,1.0,32.061
45,40.99,33.692,7.298,0.441,1.0,1.0,32.081
46,40.99,34.022,6.968,0.453,1.0,1.0,32.101
47,40.99,34.615,6.375,0.438,1.0,1.0,32.121
48,40.99,34.945,6.045,0.45,1.0,1.0,32.141
49,40.99,35.67,5.32,0.429,1.0,1.0,32.161
50,40.99,35.934,5.056,0.447,1.0,1.0,32.181
51,40.99,36.264,4.726,0.444,1.0,1.0,32.201
52,40.99,36.725,4.265,0.436,1.0,1.0,32.221
53,40.99,37.319,3.671,0.427,1.0,1.0,32.241
54,40.99,37.978,3.012,0.418,1.0,1.0,32.261
55,40.99,38.571,2.419,0.413,1.0,1.0,32.281
